,taxon,structural_zero (Microcompartment = Endosphere),structural_zero (Microcompartment = Phyllosphere),structural_zero (Microcompartment = Rhizosphere)
6914,ASV8815,TRUE,FALSE,TRUE
6915,ASV8816,TRUE,FALSE,TRUE
6916,ASV8817,TRUE,FALSE,TRUE
6917,ASV8818,TRUE,FALSE,TRUE
6918,ASV8819,TRUE,FALSE,TRUE
6919,ASV8820,TRUE,FALSE,TRUE
6920,ASV8821,TRUE,FALSE,TRUE
6921,ASV8822,TRUE,FALSE,FALSE
6922,ASV8823,TRUE,FALSE,TRUE
6923,ASV8826,TRUE,FALSE,TRUE
6924,ASV8827,TRUE,FALSE,TRUE
6925,ASV8828,TRUE,FALSE,FALSE
6926,ASV8829,TRUE,TRUE,FALSE
6927,ASV8830,TRUE,TRUE,FALSE
6928,ASV8831,TRUE,TRUE,FALSE
6929,ASV8832,TRUE,FALSE,TRUE
6930,ASV8833,TRUE,FALSE,TRUE
6931,ASV8834,TRUE,FALSE,TRUE
6932,ASV8835,TRUE,FALSE,TRUE
6933,ASV8836,FALSE,TRUE,TRUE
6934,ASV8838,FALSE,TRUE,TRUE
6935,ASV8839,FALSE,TRUE,TRUE
6936,ASV8843,TRUE,FALSE,FALSE
6937,ASV8844,TRUE,FALSE,FALSE
6938,ASV8845,TRUE,TRUE,FALSE
6939,ASV8846,TRUE,TRUE,FALSE
6940,ASV8848,TRUE,TRUE,FALSE
6941,ASV8849,TRUE,TRUE,FALSE
6942,ASV8852,TRUE,TRUE,FALSE
6943,ASV8853,TRUE,TRUE,FALSE
6944,ASV8854,TRUE,TRUE,FALSE
6945,ASV8855,TRUE,TRUE,FALSE
6946,ASV8857,TRUE,TRUE,FALSE
6947,ASV8858,TRUE,TRUE,FALSE
6948,ASV8862,TRUE,TRUE,FALSE
6949,ASV8863,TRUE,TRUE,FALSE
6950,ASV8865,TRUE,TRUE,FALSE
6951,ASV8867,TRUE,TRUE,FALSE
6952,ASV8868,FALSE,TRUE,TRUE
6953,ASV8870,FALSE,TRUE,TRUE
6954,ASV8871,FALSE,FALSE,TRUE
6955,ASV8872,TRUE,FALSE,TRUE
6956,ASV8873,TRUE,FALSE,TRUE
6957,ASV8877,TRUE,FALSE,FALSE
6958,ASV8879,TRUE,FALSE,TRUE
6959,ASV8880,TRUE,FALSE,TRUE
6960,ASV8881,TRUE,FALSE,TRUE
6961,ASV8882,TRUE,FALSE,TRUE
6962,ASV8883,TRUE,FALSE,TRUE
6963,ASV8884,TRUE,FALSE,TRUE
6964,ASV8886,TRUE,FALSE,TRUE
6965,ASV8888,TRUE,FALSE,TRUE
6966,ASV8889,TRUE,FALSE,TRUE
6967,ASV8890,TRUE,FALSE,TRUE
6968,ASV8891,TRUE,TRUE,FALSE
6969,ASV8892,TRUE,TRUE,FALSE
6970,ASV8894,TRUE,TRUE,FALSE
6971,ASV8895,TRUE,TRUE,FALSE
6972,ASV8896,TRUE,TRUE,FALSE
6973,ASV8897,TRUE,TRUE,FALSE
6974,ASV8898,TRUE,TRUE,FALSE
6975,ASV8899,TRUE,TRUE,FALSE
6976,ASV8900,TRUE,TRUE,FALSE
6977,ASV8901,TRUE,FALSE,FALSE
6978,ASV8902,TRUE,TRUE,FALSE
6979,ASV8903,TRUE,TRUE,FALSE
6980,ASV8906,FALSE,TRUE,FALSE
6981,ASV8907,TRUE,FALSE,FALSE
6982,ASV8908,TRUE,FALSE,TRUE
6983,ASV8910,TRUE,FALSE,TRUE
6984,ASV8911,TRUE,FALSE,TRUE
6985,ASV8912,TRUE,FALSE,TRUE
6986,ASV8913,TRUE,FALSE,TRUE
6987,ASV8914,TRUE,FALSE,TRUE
6988,ASV8915,TRUE,FALSE,TRUE
6989,ASV8916,TRUE,FALSE,TRUE
6990,ASV8917,TRUE,FALSE,TRUE
6991,ASV8919,TRUE,FALSE,TRUE
6992,ASV8920,TRUE,FALSE,TRUE
6993,ASV8922,TRUE,FALSE,TRUE
6994,ASV8923,TRUE,FALSE,TRUE
6995,ASV8924,TRUE,FALSE,TRUE
6996,ASV8925,TRUE,FALSE,TRUE
6997,ASV8927,TRUE,FALSE,TRUE
6998,ASV8928,TRUE,FALSE,TRUE
6999,ASV8929,TRUE,FALSE,TRUE
7000,ASV8930,TRUE,FALSE,TRUE
7001,ASV8931,TRUE,TRUE,FALSE
7002,ASV8932,TRUE,TRUE,FALSE
7003,ASV8933,TRUE,FALSE,TRUE
7004,ASV8934,TRUE,FALSE,TRUE
7005,ASV8937,TRUE,FALSE,TRUE
7006,ASV8938,TRUE,FALSE,TRUE
7007,ASV8939,TRUE,FALSE,TRUE
7008,ASV8940,TRUE,FALSE,TRUE
7009,ASV8941,TRUE,FALSE,TRUE
7010,ASV8942,FALSE,TRUE,TRUE
7011,ASV8944,FALSE,TRUE,TRUE
7012,ASV8946,TRUE,TRUE,FALSE
7013,ASV8948,TRUE,TRUE,FALSE
7014,ASV8949,FALSE,TRUE,FALSE
7015,ASV8950,FALSE,TRUE,FALSE
7016,ASV8954,TRUE,TRUE,FALSE
7017,ASV8955,TRUE,TRUE,FALSE
7018,ASV8956,TRUE,FALSE,FALSE
7019,ASV8957,FALSE,TRUE,FALSE
7020,ASV8960,TRUE,TRUE,FALSE
7021,ASV8961,TRUE,TRUE,FALSE
7022,ASV8962,TRUE,TRUE,FALSE
7023,ASV8963,TRUE,TRUE,FALSE
7024,ASV8964,TRUE,TRUE,FALSE
7025,ASV8965,TRUE,TRUE,FALSE
7026,ASV8966,TRUE,FALSE,FALSE
7027,ASV8969,TRUE,TRUE,FALSE
7028,ASV8970,TRUE,FALSE,FALSE
7029,ASV8971,TRUE,TRUE,FALSE
7030,ASV8972,TRUE,TRUE,FALSE
7031,ASV8973,TRUE,TRUE,FALSE
7032,ASV8974,TRUE,TRUE,FALSE
7033,ASV8976,TRUE,TRUE,FALSE
7034,ASV8978,TRUE,TRUE,FALSE
7035,ASV8979,TRUE,TRUE,FALSE
7036,ASV8980,TRUE,FALSE,FALSE
7037,ASV8981,TRUE,TRUE,FALSE
7038,ASV8982,TRUE,FALSE,FALSE
7039,ASV8983,FALSE,TRUE,TRUE
7040,ASV8985,FALSE,TRUE,TRUE
7041,ASV8987,FALSE,TRUE,TRUE
7042,ASV8988,TRUE,FALSE,TRUE
7043,ASV8989,TRUE,FALSE,TRUE
7044,ASV8990,TRUE,FALSE,TRUE
7045,ASV8991,TRUE,FALSE,TRUE
7046,ASV8992,TRUE,FALSE,TRUE
7047,ASV8994,TRUE,FALSE,TRUE
7048,ASV8995,TRUE,FALSE,TRUE
7049,ASV8996,TRUE,FALSE,FALSE
7050,ASV8999,TRUE,FALSE,TRUE
7051,ASV9000,TRUE,FALSE,TRUE
7052,ASV9004,TRUE,FALSE,TRUE
7053,ASV9006,TRUE,FALSE,TRUE
7054,ASV9007,TRUE,FALSE,TRUE
7055,ASV9008,TRUE,FALSE,FALSE
7056,ASV9009,TRUE,TRUE,FALSE
7057,ASV9010,TRUE,TRUE,FALSE
7058,ASV9011,TRUE,TRUE,FALSE
7059,ASV9012,TRUE,TRUE,FALSE
7060,ASV9014,TRUE,TRUE,FALSE
7061,ASV9015,TRUE,TRUE,FALSE
7062,ASV9017,TRUE,TRUE,FALSE
7063,ASV9018,TRUE,TRUE,FALSE
7064,ASV9019,TRUE,TRUE,FALSE
7065,ASV9020,TRUE,FALSE,FALSE
7066,ASV9021,TRUE,FALSE,TRUE
7067,ASV9022,TRUE,FALSE,TRUE
7068,ASV9023,TRUE,FALSE,TRUE
7069,ASV9025,TRUE,FALSE,TRUE
7070,ASV9026,TRUE,FALSE,TRUE
7071,ASV9027,TRUE,FALSE,TRUE
7072,ASV9028,TRUE,FALSE,TRUE
7073,ASV9030,TRUE,FALSE,TRUE
7074,ASV9032,TRUE,FALSE,TRUE
7075,ASV9033,TRUE,FALSE,TRUE
7076,ASV9035,TRUE,FALSE,TRUE
7077,ASV9036,TRUE,FALSE,TRUE
7078,ASV9037,TRUE,FALSE,TRUE
7079,ASV9038,TRUE,FALSE,TRUE
7080,ASV9039,TRUE,FALSE,TRUE
7081,ASV9040,TRUE,FALSE,TRUE
7082,ASV9041,TRUE,FALSE,TRUE
7083,ASV9042,TRUE,FALSE,TRUE
7084,ASV9043,TRUE,FALSE,TRUE
7085,ASV9045,TRUE,FALSE,TRUE
7086,ASV9046,TRUE,FALSE,TRUE
7087,ASV9047,TRUE,FALSE,TRUE
7088,ASV9048,TRUE,FALSE,TRUE
7089,ASV9049,TRUE,FALSE,TRUE
7090,ASV9051,TRUE,FALSE,TRUE
7091,ASV9052,TRUE,FALSE,TRUE
