,taxon,W,p_val,q_val,diff_abn,passed_ss
186,ASV345,190.384.231.499.433,0.366605887,1,FALSE,FALSE
187,ASV348,163.761.520.837.313,0.521918441,1,FALSE,TRUE
188,ASV351,823.113.516.635.191,0.022877202,1,FALSE,TRUE
189,ASV355,106.107.857.031.849,0.76406525,1,FALSE,FALSE
190,ASV357,121.681.645.599.928,0.66048588,1,FALSE,TRUE
191,ASV359,684.830.671.213.747,0.020742549,1,FALSE,FALSE
192,ASV361,129.292.080.789.957,0.006233377,1,FALSE,TRUE
193,ASV364,695.400.015.655.205,0.015989144,1,FALSE,FALSE
194,ASV370,663.514.993.712.933,0.025749955,1,FALSE,TRUE
195,ASV371,306.789.615.371.043,0.020128381,1,FALSE,FALSE
196,ASV373,0.089516139,0.170396788,1,FALSE,TRUE
197,ASV377,833.727.387.245.297,0.014809646,1,FALSE,FALSE
198,ASV379,187.966.059.454.751,0.000163961,0.109198321,FALSE,FALSE
199,ASV380,358.515.045.820.317,0.106764662,1,FALSE,TRUE
200,ASV381,140.553.445.830.681,0.003407028,1,FALSE,TRUE
201,ASV382,416.389.620.511.959,0.096711743,1,FALSE,FALSE
202,ASV385,0.708955093,0.964599077,1,FALSE,FALSE
203,ASV388,170.349.086.470.378,0.000855693,0.539375808,FALSE,TRUE
204,ASV389,140.971.376.738.291,0.001844868,1,FALSE,FALSE
205,ASV390,161.831.523.526.114,0.466401188,1,FALSE,FALSE
206,ASV391,NA,1,1,FALSE,FALSE
207,ASV392,112.991.256.977.982,0.007024858,1,FALSE,TRUE
208,ASV393,769.937.174.276.668,0.014116713,1,FALSE,TRUE
209,ASV394,320.802.117.663.612,0.142601909,1,FALSE,FALSE
210,ASV395,116.315.882.107.282,0.702850924,1,FALSE,TRUE
211,ASV398,157.940.800.112.959,0.000663338,0.423209475,FALSE,FALSE
212,ASV399,146.856.582.027.449,0.000924047,0.578453427,FALSE,FALSE
213,ASV401,239.132.111.920.104,0.261027277,1,FALSE,FALSE
214,ASV402,470.624.125.786.054,0.079820735,1,FALSE,FALSE
215,ASV404,684.616.747.218.756,0.020763283,1,FALSE,TRUE
216,ASV406,530.758.790.240.333,0.000117776,0.078910241,FALSE,TRUE
217,ASV408,247.084.863.556.007,0.259866141,1,FALSE,FALSE
218,ASV416,321.113.019.832.657,5.11E+09,0.034776244,TRUE,TRUE
219,ASV417,169.799.233.634.741,0.000280488,0.183719547,FALSE,FALSE
220,ASV420,947.914.364.757.381,0.004361352,1,FALSE,FALSE
221,ASV421,0.913746852,0.854390982,1,FALSE,FALSE
222,ASV423,86.732.711.196.792,0.033948145,1,FALSE,TRUE
223,ASV428,753.994.220.926.991,0.023860333,1,FALSE,FALSE
224,ASV429,348.276.024.088.955,0.178308971,1,FALSE,FALSE
225,ASV431,493.983.794.077.413,0.050726821,1,FALSE,FALSE
226,ASV436,121.082.788.992.742,0.000116409,0.078110165,FALSE,FALSE
227,ASV437,0.383161734,0.619089744,1,FALSE,FALSE
228,ASV439,593.165.186.858.673,0.052624019,1,FALSE,TRUE
229,ASV442,293.244.005.794.943,3.04E+09,0.020790257,TRUE,TRUE
230,ASV444,0.188506402,0.338369688,1,FALSE,FALSE
231,ASV445,643.977.991.540.714,0.031900073,1,FALSE,FALSE
232,ASV446,845.784.807.595.152,1.08E+08,0.000766092,TRUE,TRUE
233,ASV448,757.041.429.791.103,0.028567637,1,FALSE,TRUE
234,ASV456,197.214.950.306.666,0.000676872,0.431167278,FALSE,FALSE
235,ASV458,535.334.984.511.421,0.052538246,1,FALSE,TRUE
236,ASV459,536.149.177.637.449,0.052332151,1,FALSE,TRUE
237,ASV461,520.105.527.542.354,0.047248046,1,FALSE,FALSE
238,ASV467,0.388280766,0.627117001,1,FALSE,TRUE
239,ASV472,357.801.266.828.218,0.000925904,0.578690172,FALSE,FALSE
240,ASV473,342.337.748.434.012,2.20E+09,0.015134959,TRUE,TRUE
241,ASV474,240.619.546.103.486,0.264448187,1,FALSE,FALSE
242,ASV475,382.636.018.321.574,0.109548838,1,FALSE,FALSE
243,ASV477,978.591.571.480.347,0.025834392,1,FALSE,FALSE
244,ASV480,114.391.740.727.065,0.002724275,1,FALSE,FALSE
245,ASV483,0.300552576,0.508354376,1,FALSE,TRUE
246,ASV484,NA,1,1,FALSE,TRUE
247,ASV486,365.115.478.674.422,0.138038483,1,FALSE,TRUE
248,ASV487,129.739.088.367.525,0.006167974,1,FALSE,FALSE
249,ASV488,0.651311805,0.911430816,1,FALSE,TRUE
250,ASV490,108.385.281.971.412,0.757327062,1,FALSE,FALSE
251,ASV491,577.300.891.490.661,0.038619408,1,FALSE,TRUE
252,ASV492,43.780.914.501.994,0.134450264,1,FALSE,TRUE
253,ASV494,246.779.287.717.031,3.61E+09,0.024608673,TRUE,FALSE
254,ASV500,389.607.075.009.593,0.164660198,1,FALSE,FALSE
255,ASV501,198.759.746.004.939,0.000445348,0.288140329,FALSE,FALSE
256,ASV503,0.30112282,0.498903157,1,FALSE,TRUE
257,ASV504,405.430.994.623.629,0.135389926,1,FALSE,FALSE
258,ASV505,175.994.238.652.264,0.442756601,1,FALSE,FALSE
259,ASV506,101.841.691.440.178,0.009764817,1,FALSE,TRUE
260,ASV511,142.610.328.294.326,0.004604353,1,FALSE,FALSE
261,ASV513,0.181060781,0.325880013,1,FALSE,FALSE
262,ASV514,502.480.008.557.698,0.127245549,1,FALSE,TRUE
263,ASV515,201.758.434.323.073,0.000617959,0.396111911,FALSE,FALSE
264,ASV520,151.866.037.878.354,0.027083816,1,FALSE,FALSE
265,ASV521,0.095614543,0.181000755,1,FALSE,FALSE
266,ASV524,21.483.351.443.961,0.003679435,1,FALSE,FALSE
267,ASV526,0.593391897,0.843950283,1,FALSE,TRUE
268,ASV532,120.112.473.272.839,0.007790571,1,FALSE,FALSE
269,ASV534,198.165.004.260.024,0.000315176,0.206125167,FALSE,TRUE
270,ASV535,415.751.539.627.353,2.85E+09,0.019534356,TRUE,TRUE
271,ASV536,255.590.093.787.377,0.253774944,1,FALSE,FALSE
