,taxon,structural_zero (Plant.condition = Diseased),structural_zero (Plant.condition = Healthy)
3651,ASV4489,FALSE,FALSE
3652,ASV4490,FALSE,FALSE
3653,ASV4491,FALSE,FALSE
3654,ASV4492,TRUE,FALSE
3655,ASV4493,FALSE,FALSE
3656,ASV4494,FALSE,FALSE
3657,ASV4495,FALSE,FALSE
3658,ASV4496,FALSE,FALSE
3659,ASV4497,FALSE,FALSE
3660,ASV4499,FALSE,FALSE
3661,ASV4500,FALSE,FALSE
3662,ASV4501,FALSE,FALSE
3663,ASV4502,FALSE,FALSE
3664,ASV4503,TRUE,FALSE
3665,ASV4505,FALSE,FALSE
3666,ASV4506,TRUE,FALSE
3667,ASV4507,FALSE,TRUE
3668,ASV4508,FALSE,TRUE
3669,ASV4509,FALSE,TRUE
3670,ASV4510,FALSE,TRUE
3671,ASV4511,FALSE,TRUE
3672,ASV4512,FALSE,FALSE
3673,ASV4513,TRUE,FALSE
3674,ASV4514,FALSE,TRUE
3675,ASV4515,FALSE,TRUE
3676,ASV4516,FALSE,TRUE
3677,ASV4518,FALSE,FALSE
3678,ASV4520,FALSE,FALSE
3679,ASV4521,FALSE,FALSE
3680,ASV4522,FALSE,FALSE
3681,ASV4525,FALSE,FALSE
3682,ASV4526,TRUE,FALSE
3683,ASV4527,FALSE,FALSE
3684,ASV4528,FALSE,FALSE
3685,ASV4529,FALSE,FALSE
3686,ASV4530,TRUE,FALSE
3687,ASV4531,FALSE,TRUE
3688,ASV4532,FALSE,FALSE
3689,ASV4533,FALSE,FALSE
3690,ASV4534,FALSE,FALSE
3691,ASV4535,FALSE,FALSE
3692,ASV4537,FALSE,FALSE
3693,ASV4538,FALSE,FALSE
3694,ASV4539,FALSE,FALSE
3695,ASV4541,FALSE,FALSE
3696,ASV4543,FALSE,FALSE
3697,ASV4544,FALSE,FALSE
3698,ASV4545,FALSE,TRUE
3699,ASV4546,TRUE,FALSE
3700,ASV4549,FALSE,FALSE
3701,ASV4550,FALSE,FALSE
3702,ASV4551,FALSE,FALSE
3703,ASV4554,TRUE,FALSE
3704,ASV4555,FALSE,FALSE
3705,ASV4556,FALSE,TRUE
3706,ASV4557,FALSE,TRUE
3707,ASV4558,TRUE,FALSE
3708,ASV4559,FALSE,FALSE
3709,ASV4560,FALSE,FALSE
3710,ASV4561,FALSE,FALSE
3711,ASV4562,FALSE,FALSE
3712,ASV4563,FALSE,FALSE
3713,ASV4564,FALSE,FALSE
3714,ASV4566,FALSE,FALSE
3715,ASV4567,FALSE,TRUE
3716,ASV4568,TRUE,FALSE
3717,ASV4569,FALSE,TRUE
3718,ASV4570,FALSE,TRUE
3719,ASV4571,FALSE,TRUE
3720,ASV4572,FALSE,TRUE
3721,ASV4573,FALSE,TRUE
3722,ASV4575,FALSE,FALSE
3723,ASV4577,TRUE,FALSE
3724,ASV4578,FALSE,FALSE
3725,ASV4579,TRUE,FALSE
3726,ASV4580,FALSE,FALSE
3727,ASV4581,FALSE,FALSE
3728,ASV4583,TRUE,FALSE
3729,ASV4584,FALSE,FALSE
3730,ASV4585,TRUE,FALSE
3731,ASV4586,FALSE,FALSE
3732,ASV4587,FALSE,FALSE
3733,ASV4588,TRUE,FALSE
3734,ASV4589,FALSE,TRUE
3735,ASV4590,FALSE,TRUE
