taxon,lfc_(Intercept),lfc_MicrocompartmentPhyllosphere,lfc_MicrocompartmentRhizosphere,lfc_SoilOriginSoilB,lfc_PlantConditionHealthy,se_(Intercept),se_MicrocompartmentPhyllosphere,se_MicrocompartmentRhizosphere,se_SoilOriginSoilB,se_PlantConditionHealthy,W_(Intercept),W_MicrocompartmentPhyllosphere,W_MicrocompartmentRhizosphere,W_SoilOriginSoilB,W_PlantConditionHealthy,p_(Intercept),p_MicrocompartmentPhyllosphere,p_MicrocompartmentRhizosphere,p_SoilOriginSoilB,p_PlantConditionHealthy,q_(Intercept),q_MicrocompartmentPhyllosphere,q_MicrocompartmentRhizosphere,q_SoilOriginSoilB,q_PlantConditionHealthy,diff_(Intercept),diff_MicrocompartmentPhyllosphere,diff_MicrocompartmentRhizosphere,diff_SoilOriginSoilB,diff_PlantConditionHealthy,passed_ss_(Intercept),passed_ss_MicrocompartmentPhyllosphere,passed_ss_MicrocompartmentRhizosphere,passed_ss_SoilOriginSoilB,passed_ss_PlantConditionHealthy,
350,ASV736,-0.817468218,0.933565933,202.071.930.138.455,-182.862.607.218.272,0.236448693,0.281517767,0.332036095,0.347959467,0.139788983,0.129374453,-290.378.908.139.842,281.163.989.600.655,58.073.410.631.765,-130.813.318.038.292,182.763.047.384.933,0.019776479,0.022785417,0.000401788,1.11E+08,0.105017659,1,1,0.291296338,0.00079222,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
351,ASV738,0.467173239,-0.48992412,-0.629494421,-0.912079646,0.307346055,0.280428118,0.322811761,0.344798327,0.138669243,0.128253046,166.592.866.301.967,-151.767.741.889.464,-182.568.873.289.963,-657.737.522.024.846,239.640.354.378.293,0.12391818,0.157297911,0.095140796,3.98E+09,0.035457478,1,1,1,0.02777058,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
352,ASV739,-0.267641689,0.175115861,0.287875272,0.646222057,0.108907095,0.283870952,0.333123382,0.352777451,0.136907297,0.126489828,-0.942828728,0.525678683,0.816025149,472.014.328.904.976,0.860994884,0.38216529,0.617964688,0.445665176,0.003257527,0.422308638,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
353,ASV746,-0.964042844,0.242768577,0.219595603,0.576773871,0.040016564,0.284426701,0.359046623,0.366560254,0.182203619,0.172069196,-338.942.455.416.033,0.676147782,0.59907096,316.554.563.636.246,0.23256088,0.006892501,0.514279936,0.562450549,0.010063522,0.820793014,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
354,ASV753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
355,ASV755,-0.221854552,-161.211.403.028.448,-0.308393694,-0.389370048,0.718152575,0.285805775,0.335361,0.355138938,0.136566594,0.126149084,-0.776242367,-480.710.049.439.642,-0.868374771,-285.113.683.852.024,56.928.877.425.144,0.47270822,0.004853198,0.424899458,0.035776018,0.002332445,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
356,ASV757,-118.141.802.740.046,0.780538639,-0.044843554,207.833.361.206.775,0.222939743,0.287838824,0.338113554,0.363874428,0.146181741,0.135787183,-41.044.429.338.937,230.851.034.780.149,-0.12323909,142.174.637.703.462,164.183.200.874.768,0.014799182,0.082166652,0.90786198,0.000142126,0.175969215,1,1,1,0.096361382,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
357,ASV758,0.326482596,-0.591402354,-0.487086537,0.236392704,0.147226187,0.287906173,0.337210698,0.357966345,0.137988563,0.127571671,113.398.956.389.584,-175.380.661.751.026,-136.070.483.746.839,171.313.258.996.518,115.406.646.138.651,0.32015205,0.15432862,0.245229772,0.161845952,0.312731742,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
358,ASV759,-101.784.019.570.071,0.715502072,0.241377031,0.580431011,0.071398944,0.27949449,0.331341134,0.349143834,0.144437577,0.134036017,-364.171.828.541.297,215.941.215.338.348,0.691339806,401.855.960.980.452,0.53268476,0.005386466,0.059124018,0.506791445,0.003024615,0.607151293,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
359,ASV763,0.199212987,-0.639066187,-0.076841798,-0.363629518,0.178231561,0.288230164,0.337394475,0.358315838,0.138645931,0.128229706,0.6911594,-189.412.167.260.324,-0.214452698,-262.272.043.524.748,138.993.970.730.121,0.527484067,0.131125188,0.840683141,0.058631834,0.236901365,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
360,ASV764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
361,ASV767,-0.322802502,0.077099606,0.710457638,-0.005761984,-0.439457952,0.273686878,0.322738774,0.342155005,0.140366692,0.129953263,-117.945.918.313.808,0.238891673,207.642.041.293.452,-0.041049509,-338.166.155.193.992,0.261070928,0.815220699,0.060002148,0.967931511,0.005451387,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
362,ASV770,0.150891428,-102.326.253.534.406,-0.815670739,0.445478773,0.137134565,0.289240956,0.332779096,0.365496136,0.177420537,0.167246013,0.521680711,-307.490.028.340.248,-22.316.808.827.335,251.086.362.645.754,0.819957155,0.610666016,0.008864853,0.043864925,0.026049427,0.427019188,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
363,ASV773,0.279235835,-0.482150027,0.312423336,-0.4795873,-0.795740202,0.288082297,0.334927429,0.357135074,0.141195696,0.130784119,0.969291892,-143.956.566.609.417,0.874804405,-339.661.414.944.483,-608.437.941.987.327,0.369833244,0.200051504,0.415320865,0.014556502,0.000896272,1,1,1,1,0.644419754,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
364,ASV775,-0.212344655,-0.274276251,-0.464910719,0.264394473,0.241318187,0.284740896,0.334163038,0.358411877,0.142724379,0.132317003,-0.745746953,-0.820785723,-129.714.093.729.869,185.248.291.044.016,182.378.818.494.464,0.484000959,0.443149109,0.242224927,0.113399196,0.117999388,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
365,ASV784,-0.571049684,0.299742122,10.177.028.743.335,0.681998744,-0.254351686,0.278751794,0.330772391,0.345150747,0.146618272,0.136225621,-204.859.554.600.634,0.906188457,294.857.503.454.189,465.152.628.586.628,-186.713.544.751.646,0.065133054,0.384256406,0.013243098,0.000703335,0.088741337,1,1,1,0.45294767,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
366,ASV787,-0.465628994,-0.429173934,0.151771906,0.609996859,-0.376376741,0.285874073,0.335821279,0.35569017,0.143001993,0.132595483,-162.879.057.182.813,-127.798.314.590.111,0.426696936,426.565.286.596.743,-283.853.366.508.765,0.147381055,0.241999923,0.682416174,0.003720559,0.025097289,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
367,ASV788,-0.954969846,-159.141.942.275.304,139.101.618.684.931,0.852418732,0.063040074,0.280899185,0.332115806,0.352195562,0.139575546,0.129160649,-339.968.891.596.638,-479.176.057.156.719,394.955.626.165,610.722.120.291.041,0.48807492,0.009364775,0.001369893,0.004238656,0.000287178,0.638592256,1,0.917828221,1,0.190973153,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
368,ASV790,109.157.888.578.899,-151.218.057.422.046,-0.681816249,-0.478509395,-0.56042035,0.288129996,0.333884294,0.36215709,0.15148867,0.141120954,378.849.443.060.262,-452.905.572.979.712,-188.265.332.445.335,-315.871.408.580.303,-397.120.578.330.976,0.005323244,0.001926765,0.096510816,0.013420957,0.004111985,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
369,ASV797,0.040733689,-147.975.219.317.684,-0.618255991,0.520801425,0.12340767,0.291832613,0.364290378,0.356901445,0.167278278,0.15702113,0.139578948,-406.201.284.511.549,-173.228.771.941.117,311.338.347.288.407,0.785930343,0.895738521,0.015323296,0.158258571,0.035754633,0.475852428,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
370,ASV798,0.435002987,-0.800771181,-107.749.580.079.263,-0.223456005,0.231295115,0.277603211,0.327570379,0.344956206,0.139549229,0.129134289,156.699.551.738.172,-244.457.750.894.138,-312.357.273.739.125,-16.012.700.778.256,17.911.208.229.475,0.148185366,0.034577119,0.010808056,0.140399853,0.103538088,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
371,ASV807,-0.042313316,-0.923321195,-0.994056233,0.266429108,0.271729457,0.288260673,0.337890777,0.356948126,0.141903344,0.131493589,-0.146788376,-27.326.025.391.682,-278.487.589.975.368,187.753.932.059.938,206.648.445.075.844,0.889034082,0.041152597,0.038678408,0.119252969,0.093657425,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
372,ASV809,-0.489819078,-0.69613346,0.227576635,NA,0.579715522,0.314713387,0.351592445,0.36436518,NA,0.143163786,-155.639.734.020.096,-197.994.430.956.345,0.624583927,NA,404.931.677.706.277,0.180341314,0.104585549,0.559635504,1,0.009831993,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
373,ASV810,-0.280791919,-0.727592651,-171.922.534.837.482,-0.025021043,0.023524536,0.299699632,0.356347215,0.374174754,0.165965914,0.155698492,-0.936911127,-20.418.081.594.025,-459.471.231.187.282,-0.150760133,0.151090324,0.376222091,0.075461761,0.001767633,0.883896983,0.883644861,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
374,ASV815,-141.380.138.473.371,-0.160322935,0.737746936,NA,138.340.321.017.693,0.292118077,0.341873775,0.392489989,NA,0.162788828,-483.982.846.977.098,-0.468953592,187.965.796.920.423,NA,849.814.588.034.853,0.016825148,0.671077879,0.156748091,1,0.003421859,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
375,ASV817,-0.188951117,-0.480499589,0.457148552,-0.221456974,-0.137692613,0.287396352,0.337105867,0.356284672,0.14031138,0.129897838,-0.657458299,-142.536.703.115.087,128.309.912.779.329,-157.832.511.539.172,-106.000.695.996.488,0.539942483,0.213372064,0.255710435,0.175321893,0.337638183,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
376,ASV826,0.396430538,-0.969538501,-0.338614799,0.029367144,0.006290962,0.278226308,0.327044476,0.345712508,0.135746585,0.125329266,142.484.922.108.728,-29.645.463.307.114,-0.979469331,0.216337998,0.050195472,0.18794143,0.015842104,0.352941517,0.833548248,0.961062976,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
377,ASV828,183.026.712.572.763,-262.041.320.242.249,-341.154.232.623.201,0.089173129,0.643450379,0.29319721,0.344229562,0.363920835,0.138711741,0.128295596,624.244.387.551.541,-761.240.025.172.695,-937.440.782.229.122,0.642866477,501.537.385.997.811,0.10112329,0.083153175,0.067654554,0.636271059,0.125290591,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
