,taxon,lfc_MicrocompartmentPhyllosphere,lfc_MicrocompartmentRhizosphere,lfc_MicrocompartmentRhizosphere_MicrocompartmentPhyllosphere,se_MicrocompartmentPhyllosphere,se_MicrocompartmentRhizosphere,se_MicrocompartmentRhizosphere_MicrocompartmentPhyllosphere,W_MicrocompartmentPhyllosphere,W_MicrocompartmentRhizosphere,W_MicrocompartmentRhizosphere_MicrocompartmentPhyllosphere,p_MicrocompartmentPhyllosphere,p_MicrocompartmentRhizosphere,p_MicrocompartmentRhizosphere_MicrocompartmentPhyllosphere,q_MicrocompartmentPhyllosphere,q_MicrocompartmentRhizosphere,q_MicrocompartmentRhizosphere_MicrocompartmentPhyllosphere,diff_MicrocompartmentPhyllosphere,diff_MicrocompartmentRhizosphere,diff_MicrocompartmentRhizosphere_MicrocompartmentPhyllosphere,passed_ss_MicrocompartmentPhyllosphere,passed_ss_MicrocompartmentRhizosphere,passed_ss_MicrocompartmentRhizosphere_MicrocompartmentPhyllosphere
75,ASV139,-209.601.388.834.944,-0.329691383,176.632.250.514.494,0.363696291,0.392094075,0.367053517,-576.308.843.050.473,-0.840847653,481.216.613.892.729,0.000422612,0.424850569,0.001334636,0.004767323,1,0.01372088,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
76,ASV140,-156.579.712.417.784,-0.483162672,108.263.445.217.074,0.35694986,0.379292869,0.361018126,-438.660.243.449.535,-127.385.118.702.036,299.883.683.212.088,0.002328111,0.238476171,0.017101973,0.026262512,1,0.175818758,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
77,ASV141,-0.396273519,-0.360436583,0.035836936,0.334731812,0.362465557,0.38529803,-118.385.377.458.191,-0.994402298,0.09301095,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
78,ASV143,0.403217985,-0.128232727,-0.531450711,0.305837229,0.326446328,0.354707471,131.840.713.576.291,-0.39281412,-14.982.788.778.094,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
79,ASV144,-169.366.894.150.797,-0.522437872,117.123.106.996.796,0.344149411,0.362427497,0.365364264,-492.131.873.344.512,-144.149.623.387.624,320.565.305.382.944,0.00011011,0.166616614,0.004901195,0.001242104,1,0.050387281,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
80,ASV146,-0.069207137,-0.161378242,-0.092171105,0.320109309,0.336306858,0.349030475,-0.216198451,-0.479854151,-0.264077528,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
81,ASV148,-0.203319927,161.855.506.255.685,182.187.498.947.787,0.329864864,0.349534835,0.349708963,-0.616373398,463.059.730.222.975,520.968.914.745.439,0.550190879,0.000727699,0.000290095,1,0.007481191,0.003272454,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
82,ASV149,-0.084500456,0.183545171,0.268045627,0.350424947,0.352554041,0.373712176,-0.2411371,0.520615708,0.717251522,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
83,ASV150,0.036502925,0.893428605,0.85692568,0.310906911,0.33221108,0.348336431,0.117407891,268.934.018.036.592,246.005.184.698.825,0.907912823,0.015516341,0.024898292,1,0.17503383,0.255969689,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
84,ASV152,-0.276689129,-0.235670728,0.041018401,0.298573032,0.322371188,0.362927881,-0.926705024,-0.731053943,0.113020804,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
85,ASV153,-110.468.463.486.997,0.722108191,182.679.282.606.003,0.320614549,0.340634139,0.344417368,-344.552.247.413.186,211.989.377.485.981,530.400.901.574.253,0.005471097,0.057580623,0.000250863,0.056246222,0.534383436,0.00282989,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
86,ASV154,-140.862.602.255.565,107.694.954.856.292,248.557.557.111.857,0.342157487,0.385676159,0.371069866,-411.689.375.416.051,279.236.744.218.405,669.840.318.148.358,0.025967591,0.068284338,0.006788356,0.266962737,0.633720462,0.076576808,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
87,ASV156,-0.936462494,-115.698.474.924.178,-0.220522255,0.332554734,0.379610938,0.380738436,-281.596.500.708.016,-304.781.720.495.584,-0.579196199,0.011898597,0.007273068,0.570052795,0.122324863,0.082044661,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
88,ASV157,-0.624023126,-0.239510816,0.384512309,0.343697033,0.38446375,0.378542211,-181.561.976.463.355,-0.62297373,101.577.128.683.548,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
89,ASV158,-0.772322328,-0.115752993,0.656569336,0.306895173,0.324596824,0.350991735,-251.656.720.623.549,-0.356605438,187.061.195.317.747,0.020494729,0.725121823,0.076105439,0.231193088,1,0.782410506,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
90,ASV159,-201.786.402.786.128,-0.697862083,13.200.019.446.014,0.327820963,0.352678957,0.374205,-615.538.435.049.587,-197.874.602.088.815,352.748.344.675.636,4.16E+08,0.061108503,0.001998443,4.70E+09,0.567124323,0.020545221,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
91,ASV161,-0.969989411,-0.48137148,0.488617932,0.321584889,0.373909314,0.381516952,-301.627.795.797.871,-128.740.168.082.396,128.072.403.916.093,0.0063503,0.211333949,0.213628421,0.071635274,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
92,ASV162,-0.528040259,-0.452108721,0.075931538,0.321116074,0.364061356,0.366870524,-164.439.061.859.796,-124.184.760.143.807,0.206970942,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
93,ASV164,-138.839.533.342.512,-171.046.589.417.886,-0.322070561,0.374322278,0.392548479,0.35034772,-370.909.084.138.773,-435.733.670.115.622,-0.919288302,0.009980334,0.0047843,0.393401371,0.10260394,0.053969829,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
94,ASV165,0.719549644,0.225983509,-0.493566135,0.319007164,0.339539834,0.359934535,225.559.086.152.564,0.665558165,-137.126.640.223.986,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
