"taxon" "lfc_(Intercept)" "lfc_Soil.originSoilB" "lfc_Plant.conditionHealthy" "se_(Intercept)" "se_Soil.originSoilB" "se_Plant.conditionHealthy" "W_(Intercept)" "W_Soil.originSoilB" "W_Plant.conditionHealthy" "p_(Intercept)" "p_Soil.originSoilB" "p_Plant.conditionHealthy" "q_(Intercept)" "q_Soil.originSoilB" "q_Plant.conditionHealthy" "diff_(Intercept)" "diff_Soil.originSoilB" "diff_Plant.conditionHealthy" "passed_ss_(Intercept)" "passed_ss_Soil.originSoilB" "passed_ss_Plant.conditionHealthy" "diff_robust_(Intercept)" "diff_robust_Soil.originSoilB" "diff_robust_Plant.conditionHealthy"
"598" "ASV4792" 1.47837958933165 -2.59019748678028 NA 0.116422027500803 0.237797953813597 NA 12.6984525271341 -10.892429666618 NA 1 1 1 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"599" "ASV4795" 0.491718531164446 -0.766479323249506 -0.516173676415874 0.114472491292641 0.233763414961401 0.210570277773839 4.29551698938222 -3.27886775343381 -2.45131308118549 1 1 1 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"600" "ASV4830" NA NA NA NA NA NA NA NA NA 1 1 1 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"601" "ASV4902" -0.931623583816511 1.12493331731373 NA 0.116422027500803 0.237797953813597 NA -8.00212471656262 4.73062656458151 NA 1 1 1 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"602" "ASV4970" 0.063096877006915 0.153525668094166 NA 0.116422027500803 0.237797953813597 NA 0.541966828455033 0.645613915645842 NA 1 1 1 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"603" "ASV4996" 0.38993143405537 -0.35980920668374 -0.492029538046778 0.114472491292641 0.233763414961401 0.210570277773839 3.40633308188024 -1.53920238863362 -2.33665236731671 1 1 1 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"604" "ASV5001" -0.729822651149432 1.48321842601766 NA 0.116422027500803 0.237797953813597 NA -6.26876774796244 6.23730525108011 NA 1 1 1 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"605" "ASV5003" -0.203907950482903 0.430404793156924 -0.000201550494145533 0.114472491292641 0.233763414961401 0.210570277773839 -1.78128341735506 1.84119826119066 -0.000957164972551377 1 1 1 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"606" "ASV5017" -0.295728447156348 0.139281422127844 NA 0.310855964843013 0.308476942419388 NA -0.951335925967177 0.451513234783316 NA 0.411618091880614 0.682263039927786 1 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"607" "ASV5143" NA NA NA NA NA NA NA NA NA 1 1 1 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
