taxon,structural_zero (Plant.condition = Diseased),structural_zero (Plant.condition = Healthy),structural_zero,lfc_(Intercept),lfc_Soil.originSoilB,lfc_Plant.conditionHealthy,se_(Intercept),se_Soil.originSoilB,se_Plant.conditionHealthy,W_(Intercept),W_Soil.originSoilB,W_Plant.conditionHealthy,p_(Intercept),p_Soil.originSoilB,p_Plant.conditionHealthy,q_(Intercept),q_Soil.originSoilB,q_Plant.conditionHealthy,diff_(Intercept),diff_Soil.originSoilB,diff_Plant.conditionHealthy,passed_ss_(Intercept),passed_ss_Soil.originSoilB,passed_ss_Plant.conditionHealthy,
559,ASV733,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
560,ASV734,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
561,ASV736,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
562,ASV738,FALSE,FALSE,FALSE,0.064669584,-0.500384488,0.216762848,0.170503607,0.251245873,0.22804192,0.379285727,-19.916.127.611.079,0.950539478,0.740958989,0.18464958,0.442162955,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
563,ASV739,FALSE,FALSE,FALSE,-0.292658211,0.687873485,0.086638479,0.122699455,0.239136313,0.215904258,-238.516.307.890.374,287.649.113.872.416,0.401281938,0.139832429,0.102593924,0.727027124,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
564,ASV740,FALSE,FALSE,FALSE,-0.863575892,0.811826639,NA,0.116477448,0.242862419,NA,-741.410.381.194.755,334.274.294.910.539,NA,0.085350961,0.18505382,1,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
565,ASV741,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
566,ASV742,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
567,ASV744,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
568,ASV745,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
569,ASV746,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
570,ASV747,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
571,ASV748,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
572,ASV749,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
573,ASV750,FALSE,FALSE,FALSE,-0.674949746,0.844818218,NA,0.118339137,0.246636924,NA,-570.352.093.969.967,342.535.174.773.229,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
574,ASV751,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
575,ASV752,FALSE,FALSE,FALSE,-121.161.402.090.934,0.907696177,0.63757216,0.119899401,0.249796872,0.226586942,-101.052.549.625.308,363.373.715.904.914,281.380.803.812.349,0.062794438,0.170964875,0.217385757,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
576,ASV753,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
577,ASV754,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
578,ASV755,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
579,ASV756,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
580,ASV757,FALSE,FALSE,FALSE,-148.383.386.565.493,23.943.194.883.293,0.881954093,0.132412593,0.275053549,0.252013423,-112.061.386.125.113,870.492.128.180.308,349.963.142.253.635,0.007869333,0.012941232,0.072841056,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
581,ASV758,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
582,ASV759,FALSE,FALSE,FALSE,-0.319304138,146.747.035.167.395,-0.198856979,0.115196497,0.240262505,0.217030699,-277.182.160.708.418,610.777.929.038.068,-0.916261983,0.220423381,0.103314329,0.527801722,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
583,ASV760,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
584,ASV763,FALSE,FALSE,FALSE,-0.163163026,-0.119668768,NA,0.127357982,0.243265918,NA,-128.113.702.332.962,-0.491925747,NA,0.290200743,0.656517897,1,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
585,ASV764,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
586,ASV765,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
587,ASV767,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
588,ASV768,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
589,ASV770,FALSE,FALSE,FALSE,-0.61763989,228.778.698.330.421,-0.521192468,0.135236506,0.278328057,0.255317203,-456.710.918.596.048,821.974.978.207.869,-204.135.272.669.875,0.019689959,0.003768995,0.133872305,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
590,ASV772,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
591,ASV773,FALSE,FALSE,FALSE,0.065199163,0.437174829,-0.41838027,0.116421708,0.242749335,0.219519985,0.56002582,180.093.110.977.275,-190.588.692.721.634,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
592,ASV774,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
593,ASV775,FALSE,FALSE,FALSE,0.128925519,0.098677646,-0.300155951,0.122428798,0.254913626,0.231727387,105.306.530.394.264,0.387102279,-129.529.770.018.277,0.402760288,0.735989115,0.32457712,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
594,ASV778,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
595,ASV779,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
596,ASV780,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
597,ASV781,FALSE,FALSE,FALSE,0.105062766,-0.233615897,-0.102389919,0.184298847,0.258021491,0.234852879,0.570067409,-0.905412554,-0.435974723,0.593291158,0.406758713,0.681035845,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
598,ASV782,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
599,ASV784,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
600,ASV785,FALSE,FALSE,FALSE,-0.032086092,-0.850279701,0.138141224,0.114646026,0.236968226,0.213737323,-0.27987095,-358.815.912.113.055,0.646313062,0.805866357,0.06965319,0.584338424,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
601,ASV786,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
602,ASV787,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
603,ASV788,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
604,ASV789,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
605,ASV790,FALSE,FALSE,FALSE,0.121801971,-174.641.965.369.611,0.180548525,0.129565112,0.234467331,0.211240639,0.940083093,-744.845.622.484.354,0.854705451,0.400401196,0.001735488,0.440884328,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
606,ASV792,FALSE,FALSE,FALSE,0.331050464,0.008086751,-0.543143801,0.113198703,0.236202526,0.212972572,292.450.757.215.119,0.034236513,-25.502.993.034.553,0.061272174,0.974839115,0.083920969,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
607,ASV793,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
608,ASV794,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
609,ASV796,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
610,ASV797,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
611,ASV798,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
612,ASV799,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
613,ASV800,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
614,ASV801,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
615,ASV802,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
616,ASV803,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
617,ASV804,FALSE,FALSE,FALSE,-0.189452951,-0.626011603,0.383847721,0.131695567,0.242986053,0.219757068,-143.856.741.495.069,-25.763.273.006.807,174.669.113.145.228,0.386717272,0.235707719,0.331017942,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
618,ASV807,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
619,ASV808,FALSE,FALSE,FALSE,0.361889881,-101.442.404.802.358,-0.309783859,0.150852588,0.257490594,0.234318814,239.896.369.411.233,-39.396.547.684.647,-132.206.139.959.429,0.074439955,0.016964711,0.256681572,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
620,ASV809,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
621,ASV810,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
622,ASV811,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
623,ASV812,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
624,ASV814,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
625,ASV815,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
626,ASV816,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
627,ASV817,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
628,ASV818,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
629,ASV819,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
630,ASV820,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
631,ASV821,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
632,ASV822,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
633,ASV823,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
634,ASV824,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
635,ASV825,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
636,ASV826,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
637,ASV827,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
638,ASV828,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
639,ASV829,FALSE,FALSE,FALSE,-0.387787977,0.729296403,0.150647942,0.11447454,0.238796071,0.215564052,-338.754.779.782.418,305.405.529.211.502,0.698854662,0.182739294,0.201446445,0.611689398,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
640,ASV830,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
641,ASV831,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
642,ASV833,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
643,ASV835,FALSE,FALSE,FALSE,0.62152412,-169.481.084.433.422,-0.62816885,0.239061045,0.291105289,0.268217599,259.985.527.551.164,-582.198.575.454.339,-234.201.205.591.328,0.121552573,0.028257885,0.143962815,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
644,ASV836,FALSE,FALSE,FALSE,-0.359836171,0.527808485,NA,0.152621984,0.255351374,NA,-23.576.955.413.971,206.698.901.675.267,NA,0.14244229,0.174684908,1,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
645,ASV837,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
646,ASV839,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
647,ASV840,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
648,ASV841,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
649,ASV842,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
650,ASV844,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
651,ASV846,FALSE,FALSE,FALSE,-0.392877048,-0.777293557,0.78092468,0.116421708,0.242749335,0.219519985,-337.460.301.916.405,-320.204.196.640.008,355.741.951.747.331,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
652,ASV847,FALSE,FALSE,FALSE,-0.003883418,-0.540092451,0.256343045,0.141685756,0.24193289,0.218702455,-0.027408666,-223.240.606.879.224,117.210.867.703.943,0.97985511,0.111746478,0.325764682,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
653,ASV851,FALSE,FALSE,FALSE,-0.083202218,-108.193.520.837.052,0.287509129,0.1803599,0.262795608,0.239658116,-0.461312179,-411.702.164.787.342,119.966.364.593.971,0.66394763,0.009200601,0.284010592,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
654,ASV852,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
655,ASV853,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
656,ASV855,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
657,ASV856,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
658,ASV857,FALSE,FALSE,FALSE,-0.278928036,-0.575954564,0.366137218,0.114518036,0.238884442,0.215652408,-243.566.905.369.003,-241.101.747.641.252,169.781.186.923.551,0.248014753,0.250298311,0.338864497,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
659,ASV860,FALSE,FALSE,FALSE,0.373886246,-0.817943676,-0.392408796,0.152962519,0.255103618,0.231918391,244.429.974.119.372,-320.631.938.285.997,-169.201.241.331.023,0.050177714,0.018452425,0.141592174,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
660,ASV861,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
661,ASV862,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
662,ASV863,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
663,ASV864,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
664,ASV866,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
665,ASV867,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
666,ASV868,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
667,ASV869,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
668,ASV870,FALSE,FALSE,FALSE,-0.044788816,0.599771635,-0.353681341,0.121197989,0.233091206,0.209868254,-0.369550816,257.311.995.950.544,-168.525.412.319.048,0.736261931,0.082269758,0.190526821,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
669,ASV872,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
670,ASV873,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
671,ASV874,FALSE,FALSE,FALSE,-0.627560185,0.381129232,0.506327625,0.116421708,0.242749335,0.219519985,-539.040.523.578.432,157.005.263.416.609,230.652.177.166.448,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
672,ASV875,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
673,ASV876,FALSE,FALSE,FALSE,0.108379855,-0.519208664,0.05900182,0.127804868,0.265768303,0.242652343,0.848010385,-195.361.394.698.583,0.24315372,0.485735134,0.189964841,0.830550732,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
674,ASV877,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
675,ASV878,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
676,ASV879,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
677,ASV880,FALSE,FALSE,FALSE,0.026798605,-0.091569197,0.110105092,0.116553412,0.23385063,0.210625483,0.229925533,-0.39157131,0.522752946,0.832935206,0.72153143,0.637296958,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
678,ASV882,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
679,ASV883,FALSE,FALSE,FALSE,-0.655110187,107.077.065.015.517,-0.456718004,0.116421708,0.242749335,0.219519985,-562.704.496.965.655,441.101.373.637.478,-208.053.040.798.273,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
680,ASV884,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
681,ASV885,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
682,ASV886,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
683,ASV887,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
684,ASV888,FALSE,FALSE,FALSE,-0.854898776,154.611.257.044.573,0.275332305,0.124725633,0.245012979,0.22178798,-685.423.483.600.681,631.032.927.108.675,124.142.122.241.579,0.020629052,0.024204794,0.340297036,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
685,ASV890,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
686,ASV892,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
687,ASV893,FALSE,FALSE,FALSE,-0.076790838,0.422316203,-0.095123174,0.116421708,0.242749335,0.219519985,-0.659592091,173.972.136.141.308,-0.433323524,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
688,ASV894,FALSE,FALSE,FALSE,-0.174246776,-0.36277142,0.668911569,0.115176855,0.240222619,0.216990795,-151.286.277.547.486,-151.014.680.591.571,308.267.256.027.968,0.371829367,0.372355768,0.199697152,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
689,ASV895,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
690,ASV898,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
691,ASV899,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
692,ASV900,FALSE,FALSE,FALSE,0.662426062,-170.017.189.059.737,NA,0.116489529,0.242886927,NA,568.657.174.246.888,-699.984.931.337.051,NA,0.110818365,0.090336389,1,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
