"taxon" "lfc_(Intercept)" "lfc_Soil.originSoilB" "lfc_Plant.conditionHealthy" "se_(Intercept)" "se_Soil.originSoilB" "se_Plant.conditionHealthy" "W_(Intercept)" "W_Soil.originSoilB" "W_Plant.conditionHealthy" "p_(Intercept)" "p_Soil.originSoilB" "p_Plant.conditionHealthy" "q_(Intercept)" "q_Soil.originSoilB" "q_Plant.conditionHealthy" "diff_(Intercept)" "diff_Soil.originSoilB" "diff_Plant.conditionHealthy" "passed_ss_(Intercept)" "passed_ss_Soil.originSoilB" "passed_ss_Plant.conditionHealthy"
"15" "ASV25" -0.339031620413942 -0.278946970204809 0.692041300264165 0.162499245823745 0.318794219463087 0.296199448155762 -2.08635811628118 -0.875006362018142 2.33640307088028 0.105263189257404 0.43096559202586 0.0796913912314094 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE
"16" "ASV26" -0.585683389606356 -1.34239858978555 1.54622381485827 0.29010270498765 0.402496097383025 0.380770243864819 -2.01888289745968 -3.33518411361911 4.0607790124672 0.0742558041998049 0.00872678310082241 0.0028386275294757 1 1 1 FALSE FALSE FALSE TRUE FALSE TRUE
"17" "ASV27" NA NA NA NA NA NA NA NA NA 1 1 1 1 1 1 FALSE FALSE FALSE TRUE FALSE FALSE
"18" "ASV28" -0.379370756499649 0.165277643006408 0.388207083896556 0.229745547975236 0.348723719734858 0.326452752247199 -1.65126488779901 0.473950103342762 1.18916774701472 0.129694831651275 0.645713853450739 0.261843802046954 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE
"19" "ASV30" -0.616190787229697 -0.667214611606715 1.10281450870456 0.250470283009717 0.352479310562929 0.330248336031824 -2.46013530956801 -1.89291851070957 3.33934917570118 0.0393104646430604 0.0949981719492846 0.0102410586101652 1 1 1 FALSE FALSE FALSE FALSE FALSE TRUE
"20" "ASV31" 0.12726650202505 -0.917757901420373 0.165146365829359 0.133299000130356 0.258899191706626 0.235735951865772 0.954744610991779 -3.54484653030643 0.700556552881645 0.364645727630605 0.00626630426514034 0.501287755909686 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE
"21" "ASV32" -0.0126302903953068 0.232576694566403 -0.190084866486094 0.198898917074329 0.37344381051297 0.351431329912116 -0.0635010515949002 0.622788992665138 -0.540887650892222 0.950506765790752 0.546117697261814 0.599366971837748 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE
"22" "ASV34" NA NA NA NA NA NA NA NA NA 1 1 1 1 1 1 FALSE FALSE FALSE TRUE FALSE FALSE
"23" "ASV36" -0.590573939606771 0.295287380780383 0.958008381234976 0.161378032585431 0.295250236071934 0.272404777920599 -3.65956834486832 1.00012580754869 3.51685601312844 0.0352557296202168 0.39095020122538 0.0390052046312601 1 1 1 FALSE FALSE FALSE FALSE TRUE FALSE
"24" "ASV38" -0.0048431695318182 -0.941363404585995 0.500357175988004 0.142160920813811 0.253492292078766 0.230298768186294 -0.0340682200431251 -3.71357802190488 2.17264373547693 0.973566364069767 0.00481823771526723 0.0578637898128744 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE
"25" "ASV39" -0.384905787903767 0.812452415270249 0.137059709128517 0.153255956174642 0.30163491257201 0.278855992932742 -2.51152253727189 2.69349594959864 0.491507131286846 0.0362847676789046 0.0273481322874599 0.636268265968729 1 1 1 FALSE FALSE FALSE FALSE TRUE FALSE
"26" "ASV40" NA NA NA NA NA NA NA NA NA 1 1 1 1 1 1 FALSE FALSE FALSE TRUE FALSE FALSE
"27" "ASV41" 0.335690935271978 -1.72702908073194 0.724932668219829 0.223756039834991 0.345403966694776 0.323097470633198 1.50025418540448 -5.00002677229839 2.2436965130031 0.161693120796258 0.00040251282394232 0.0463997549666613 1 0.909678982109643 1 FALSE FALSE FALSE TRUE TRUE FALSE
"28" "ASV42" NA NA NA NA NA NA NA NA NA 1 1 1 1 1 1 FALSE FALSE FALSE FALSE FALSE TRUE
"29" "ASV43" -0.105710818262474 0.343798139191332 -0.212896044500152 0.179166548806273 0.347391912109069 0.325106710338231 -0.590014257498346 0.989654989674575 -0.654849739270718 0.566125790906435 0.341878774369975 0.52491839816887 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE
"30" "ASV45" -0.517661401931058 -0.795515527266627 0.937766180272082 0.239030876527552 0.364549774591455 0.342445668830583 -2.16566750476435 -2.18218630955992 2.73843784759918 0.0670445390424694 0.0654291813491793 0.02898344977491 1 1 1 FALSE FALSE FALSE TRUE FALSE TRUE
"31" "ASV49" NA NA NA NA NA NA NA NA NA 1 1 1 1 1 1 FALSE FALSE FALSE FALSE FALSE FALSE
"32" "ASV50" 0.0382759048356811 -0.69241839152341 0.101454492738408 0.104659270089534 0.214244970298499 0.191214653264589 0.365719202923323 -3.23190033613714 0.530579069157545 0.725376383567846 0.0144137621956239 0.612120123994079 1 1 1 FALSE FALSE FALSE FALSE TRUE TRUE
"33" "ASV51" -0.552101855938672 0.171918219822822 0.656878436885316 0.219721794947467 0.325446764692473 0.302924288406769 -2.51273141142267 0.528252969376649 2.16845747279021 0.0457340650216167 0.616282743832206 0.0732175647129459 1 1 1 FALSE FALSE FALSE FALSE TRUE TRUE
"34" "ASV53" NA NA NA NA NA NA NA NA NA 1 1 1 1 1 1 FALSE FALSE FALSE TRUE FALSE TRUE
"35" "ASV54" NA NA NA NA NA NA NA NA NA 1 1 1 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE
"36" "ASV55" -0.111464409994397 -0.197793272754916 0.140328552996007 0.129906573774844 0.260599897992055 0.237447527928456 -0.858035176784733 -0.758992134221581 0.590987635122016 0.415837989507012 0.469627022893427 0.57084431865904 1 1 1 FALSE FALSE FALSE TRUE FALSE FALSE
"37" "ASV56" -0.0554922620434423 -0.514559062174383 0.269480628117875 0.162778585687286 0.267260883002022 0.244156287419353 -0.34090640245547 -1.92530630144813 1.10372184540562 0.740997210969441 0.0863194910186141 0.298348597880112 1 1 1 FALSE FALSE FALSE TRUE FALSE TRUE
"38" "ASV58" 0.0657147114645592 -1.70512321794006 0.132331110616461 0.139559763249157 0.229064325829422 0.205858779942973 0.470871474231712 -7.44386194474392 0.642824710479287 0.654363932665163 0.000302799707997283 0.544105387106124 1 0.685538538905848 1 FALSE FALSE FALSE FALSE TRUE TRUE
"39" "ASV59" -0.00869147085878025 -0.896136623411884 0.535734823707411 0.152294033809737 0.267546317312193 0.244443934640014 -0.0570703306055877 -3.34946349631943 2.19164703144045 0.955613414917249 0.00737199650572806 0.0531875427772819 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE
