"","Kingdom","Phylum","Class","Order","Family","Genus"
"7ff8925a2d005bcc58539c00f5028ad0","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae","Povalibacter"
"52fde859a521844c46d6a90a74da5545","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae",NA
"7d914901e58d89523fd67bce8e6ff055","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Pseudarthrobacter"
"a400bb8457fc07c15ab24be38e7eb574","Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrocosmicus"
"f8d1ca64c370dfb5de0416646b2692cf","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"423b62b87f562b36522927817c28d280","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium"
"52648f5785e0ccaebdfaa86afbe18dda","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"226208e01a6c16099faa6918a78c4e39","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"cd3544262dd4b6a2a2fbd70d4ae022de","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas"
"5fe2ede8bae4eb0f34ae10434e5be44a","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae",NA
"285c257025c3bc6b634d2bd52b8cd16e","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA
"80fca351b709eda85ffc27acf4d9ee2d","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium"
"b2ee8a0f671f8600ccd2618a26b2573c","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Paracoccus"
"9bfd97ecadb7ee8218df31662c1e65a0","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus"
"35649ab409dfa8b865db05866341c823","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae",NA
"aa934362e13b0035fffd9a968b4c7b04","Bacteria","Firmicutes","Bacilli","Alicyclobacillales","Alicyclobacillaceae","Tumebacillus"
