"","plant-b1","plant-b2","plant-b3","plant-b4","plant-d1","plant-d2","plant-d3","plant-d4","plant-f1","plant-f2","plant-f3","plant-f4","plant-k1","plant-k2","plant-k3","plant-k4","plant-m1","plant-m2","plant-m3","plant-m4","plant-p1","plant-p2","plant-p3","plant-p4","plant-r1","plant-r2","plant-r3","plant-r4","plant-s1","plant-s2","plant-s3","plant-s4","plant-t1","plant-t2","plant-t3","plant-t4","plant-v1","plant-v2","plant-v3","plant-v4","plant-x1","plant-x2","plant-x3","plant-x4","plant-y1","plant-y2","plant-y3","plant-y4"
"806e20c45169c7d82b89cf0c124ab5a1",0,0,0,0,230,192,193,164,958,646,171,108,0,0,0,0,0,0,0,0,0,0,0,0,231,154,116,469,106,85,137,116,73,115,73,53,149,128,216,90,0,100,126,173,356,415,92,281
"c940cc53ad39b6b3ccacb6ed16dceff2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1892,1316,469,235,24,0,0,0,1057,393,461,596,0,0,0,0
"5869c7b03e2c4cfa7b2d1a56532adb43",849,61,53,0,1703,66,62,728,103,53,87,0,129,0,0,129,0,145,52,54,0,133,0,37,111,112,184,0,81,221,162,0,0,59,138,0,0,169,0,73,0,255,0,0,0,0,256,63
"c129756385296b44aed691339a2b3ae2",355,359,508,621,0,0,0,0,0,0,0,0,221,191,214,281,356,409,421,382,217,698,398,255,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,126,0
"07a377ecab50fab33c4bbc5e1f343451",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1885,663,1525,1518,0,0,0,0,129,74,0,0,0,0,0,0,0,88,0,260,45,0,0,0
"6c404a272991f8126482f8e5e231a017",230,109,125,203,104,122,192,119,183,97,111,156,212,126,309,228,155,120,130,110,160,361,246,185,100,0,0,0,190,259,248,195,0,0,36,0,330,130,151,259,0,0,0,42,0,0,93,0
"a0bbc3254710edff3f552a321a861362",297,181,162,252,154,165,0,108,112,99,112,98,210,111,279,173,188,191,175,156,179,373,227,179,82,57,0,99,135,153,191,186,0,0,0,0,275,142,154,273,0,0,0,0,0,125,63,0
"487e85cedb33e05bced139da8ee77c15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,52,282,0,0,0,0,563,196,518,162,0,0,0,0,1029,813,189,1851,199,0,0,0
"c740041a753b340658c96e7c2f4b730b",66,128,77,54,0,132,66,152,146,0,89,0,196,128,228,378,104,69,87,0,162,479,245,204,108,84,119,141,134,190,241,223,99,0,255,40,312,162,151,467,0,0,0,0,0,0,0,0
"b35c1979abc519c77ce8cf66c6b4a24a",313,310,417,484,0,0,0,0,41,0,0,37,240,151,265,308,266,305,491,424,239,422,364,360,0,0,70,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,98
