"plant.b1"	"plant.b2"	"plant.b3"	"plant.b4"	"plant.d1"	"plant.d2"	"plant.d3"	"plant.d4"	"plant.f1"	"plant.f2"	"plant.f3"	"plant.f4"	"plant.k1"	"plant.k2"	"plant.k3"	"plant.k4"	"plant.m1"	"plant.m2"	"plant.m3"	"plant.m4"	"plant.p1"	"plant.p2"	"plant.p3"	"plant.p4"	"plant.r1"	"plant.r2"	"plant.r3"	"plant.r4"	"plant.s1"	"plant.s2"	"plant.s3"	"plant.s4"	"plant.t1"	"plant.t2"	"plant.t3"	"plant.t4"	"plant.v1"	"plant.v2"	"plant.v3"	"plant.v4"	"plant.x1"	"plant.x2"	"plant.x3"	"plant.x4"	"plant.y1"	"plant.y2"	"plant.y3"	"plant.y4"
"ASV51"	924	87	0	0	1969	71	112	888	120	124	0	103	0	0	0	138	0	163	61	65	0	143	78	109	152	119	219	0	112	276	219	0	0	0	153	0	0	183	0	85	0	298	0	0	0	0	372	125
"ASV52"	0	0	0	0	40	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1465	1763	808	251	0	0	0	0	1160	422	707	461	0	0	0	0
"ASV53"	0	0	0	0	0	0	0	47	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227	0	299	0	0	0	0	711	229	592	0	0	0	0	0	1248	949	221	2262	260	0	0	0
"ASV54"	0	0	0	0	0	0	0	0	0	0	0	0	91	73	0	110	0	0	0	0	91	156	80	150	0	0	109	0	0	58	86	0	3743	0	0	0	139	76	85	90	0	0	0	0	1878	0	0	0
"ASV55"	261	163	180	259	118	105	0	92	107	113	149	0	261	149	348	284	165	161	188	144	195	530	275	216	64	0	155	196	186	189	229	220	0	0	0	0	371	177	187	318	0	0	43	0	0	73	0	96
"ASV56"	176	132	175	333	172	140	167	216	0	0	0	135	167	143	184	328	150	96	207	148	215	1036	291	215	59	0	96	146	93	234	164	201	0	37	0	0	188	149	318	308	42	0	0	0	0	0	0	0
"ASV58"	618	284	399	474	351	312	273	291	347	158	250	242	89	82	80	74	273	343	491	261	0	94	79	0	0	0	0	44	0	0	0	0	0	0	0	0	97	0	0	83	83	221	70	106	0	42	103	49
"ASV59"	449	341	388	466	0	0	0	0	0	0	0	0	296	225	314	382	282	336	365	315	281	676	384	368	243	154	204	0	0	0	0	0	33	0	97	0	0	0	0	126	0	0	0	0	0	0	0	0
"ASV60"	546	0	98	157	107	139	127	87	169	123	0	278	67	85	107	200	66	0	0	70	76	122	0	0	136	109	121	0	510	567	105	0	53	0	1108	0	0	0	0	339	136	146	84	294	0	0	217	166
"ASV61"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1782	1863	595	304	14	0	0	0	626	361	812	347	0	0	0	0
"ASV62"	129	85	73	84	0	0	0	0	0	0	0	0	277	214	304	378	55	72	0	0	269	507	349	325	617	0	114	152	190	232	375	332	0	0	85	0	457	245	260	498	0	0	0	0	0	0	0	0
"ASV63"	375	198	190	272	0	0	29	0	0	0	0	0	189	140	201	214	183	169	277	207	174	339	237	207	295	60	0	57	16	0	0	0	389	99	1336	86	0	0	0	0	69	329	118	0	0	0	121	0
"ASV65"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1892	1316	469	235	24	0	0	0	1057	393	461	596	0	0	0	0
"ASV66"	849	61	53	0	1703	66	62	728	103	53	87	0	129	0	0	129	0	145	52	54	0	133	0	37	111	112	184	0	81	221	162	0	0	59	138	0	0	169	0	73	0	255	0	0	0	0	256	63
"ASV67"	355	359	508	621	0	0	0	0	0	0	0	0	221	191	214	281	356	409	421	382	217	698	398	255	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	126	0
"ASV68"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1885	663	1525	1518	0	0	0	0	129	74	0	0	0	0	0	0	0	88	0	260	45	0	0	0
"ASV71"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	209	52	282	0	0	0	0	563	196	518	162	0	0	0	0	1029	813	189	1851	199	0	0	0
