"taxon" "structural_zero (Microcompartment = Endosphere)" "structural_zero (Microcompartment = Phyllosphere)" "structural_zero (Microcompartment = Rhizosphere)"
"186" "Clostridium sensu stricto 1" TRUE FALSE FALSE
"187" "Clostridium sensu stricto 10" TRUE FALSE TRUE
"188" "Clostridium sensu stricto 11" TRUE FALSE TRUE
"189" "Clostridium sensu stricto 12" TRUE FALSE FALSE
"190" "Clostridium sensu stricto 13" FALSE FALSE FALSE
"191" "Clostridium sensu stricto 15" TRUE FALSE TRUE
"192" "Clostridium sensu stricto 18" TRUE FALSE TRUE
"193" "Clostridium sensu stricto 2" TRUE FALSE TRUE
"194" "Clostridium sensu stricto 3" TRUE FALSE TRUE
"195" "Clostridium sensu stricto 4" TRUE FALSE TRUE
"196" "Clostridium sensu stricto 5" TRUE FALSE TRUE
"197" "Clostridium sensu stricto 6" TRUE FALSE TRUE
"198" "Clostridium sensu stricto 7" FALSE FALSE FALSE
"199" "Clostridium sensu stricto 8" TRUE FALSE TRUE
"200" "Clostridium sensu stricto 9" TRUE FALSE FALSE
"201" "Cnuella" TRUE TRUE FALSE
"202" "Cohnella" FALSE FALSE FALSE
"203" "Conexibacter" TRUE FALSE FALSE
"204" "Confluentibacter" TRUE FALSE FALSE
"205" "Conyzicola" TRUE FALSE TRUE
"206" "Corallococcus" FALSE FALSE FALSE
"207" "Corticibacterium" TRUE TRUE FALSE
"208" "Corynebacterium" FALSE FALSE FALSE
"209" "Couchioplanes" TRUE FALSE FALSE
"210" "Coxiella" FALSE FALSE FALSE
"211" "Criblamydia" TRUE FALSE TRUE
"212" "Croceicoccus" TRUE TRUE FALSE
"213" "Crocinitomix" FALSE FALSE FALSE
"214" "Crossiella" TRUE FALSE TRUE
"215" "Cryobacterium" TRUE FALSE TRUE
"216" "Curtobacterium" TRUE TRUE FALSE
"217" "Curvibacter" TRUE FALSE TRUE
"218" "Cystobacter" TRUE FALSE TRUE
"219" "Cytophaga" FALSE FALSE FALSE
"220" "Dactylosporangium" TRUE FALSE TRUE
"221" "Dechlorobacter" TRUE FALSE FALSE
"222" "Dechloromonas" TRUE FALSE FALSE
"223" "Dechlorosoma" TRUE FALSE FALSE
"224" "Defluviicoccus" TRUE TRUE FALSE
"225" "Defluviimonas" TRUE FALSE TRUE
"226" "Defluviitalea" FALSE FALSE FALSE
"227" "Dehalobacter" TRUE FALSE TRUE
"228" "Deinococcus" FALSE TRUE TRUE
"229" "Demequina" TRUE FALSE FALSE
"230" "Dermacoccus" TRUE TRUE FALSE
"231" "Desulfallas-Sporotomaculum" FALSE FALSE FALSE
"232" "Desulfitibacter" FALSE FALSE FALSE
"233" "Desulfobulbus" TRUE FALSE TRUE
"234" "Desulfofarcimen" TRUE FALSE TRUE
"235" "Desulfohalotomaculum" TRUE FALSE FALSE
"236" "Desulfomicrobium" TRUE FALSE TRUE
"237" "Desulfopila" TRUE FALSE TRUE
"238" "Desulfosporosinus" TRUE FALSE FALSE
"239" "Desulfotomaculum" TRUE FALSE FALSE
"240" "Desulfovibrio" TRUE FALSE TRUE
"241" "Desulfovirga" TRUE FALSE FALSE
"242" "Desulfurispora" TRUE TRUE FALSE
"243" "Desulfuromonas" TRUE FALSE TRUE
"244" "Dethiobacter" FALSE FALSE FALSE
"245" "Devosia" FALSE FALSE FALSE
"246" "Dinghuibacter" TRUE FALSE FALSE
"247" "Dokdonella" FALSE FALSE FALSE
"248" "Domibacillus" FALSE FALSE FALSE
"249" "Dongia" FALSE FALSE FALSE
"250" "DSSF69" TRUE TRUE FALSE
"251" "Duganella" FALSE TRUE TRUE
"252" "Dyadobacter" FALSE FALSE FALSE
"253" "Dyella" FALSE FALSE FALSE
"254" "Edaphobaculum" FALSE FALSE FALSE
"255" "Ekhidna" TRUE FALSE FALSE
"256" "Ellin516" TRUE FALSE TRUE
"257" "Ellin517" TRUE FALSE FALSE
"258" "Ellin6055" FALSE FALSE FALSE
"259" "Ellin6067" FALSE FALSE FALSE
"260" "Emticicia" FALSE FALSE FALSE
"261" "Enhydrobacter" FALSE FALSE FALSE
"262" "Enhygromyxa" FALSE FALSE FALSE
"263" "Ensifer" FALSE FALSE FALSE
"264" "Enterorhabdus" TRUE FALSE TRUE
"265" "Eoetvoesia" TRUE FALSE FALSE
"266" "Epulopiscium" TRUE FALSE TRUE
"267" "Erythrobacter" FALSE FALSE FALSE
"268" "Estrella" FALSE FALSE FALSE
"269" "Euzebya" TRUE TRUE FALSE
"270" "Exiguobacterium" FALSE TRUE TRUE
"271" "Falsibacillus" TRUE FALSE TRUE
"272" "Fenollaria" FALSE FALSE FALSE
"273" "Fermentimonas" TRUE FALSE TRUE
"274" "Ferribacterium" TRUE FALSE FALSE
"275" "Ferrovibrio" FALSE FALSE FALSE
"276" "Ferruginibacter" TRUE FALSE FALSE
"277" "FFCH7168" TRUE FALSE FALSE
