"taxon" "structural_zero (Plant.condition = Diseased)" "structural_zero (Plant.condition = Healthy)"
"210" "Coxiella" FALSE FALSE
"211" "Criblamydia" TRUE FALSE
"212" "Croceicoccus" FALSE TRUE
"213" "Crocinitomix" FALSE FALSE
"214" "Crossiella" TRUE FALSE
"215" "Cryobacterium" TRUE FALSE
"216" "Curtobacterium" TRUE FALSE
"217" "Curvibacter" TRUE FALSE
"218" "Cystobacter" TRUE FALSE
"219" "Cytophaga" FALSE FALSE
"220" "Dactylosporangium" FALSE FALSE
"221" "Dechlorobacter" FALSE FALSE
"222" "Dechloromonas" FALSE FALSE
"223" "Dechlorosoma" FALSE FALSE
"224" "Defluviicoccus" TRUE FALSE
"225" "Defluviimonas" TRUE FALSE
"226" "Defluviitalea" FALSE FALSE
"227" "Dehalobacter" FALSE FALSE
"228" "Deinococcus" TRUE FALSE
"229" "Demequina" FALSE FALSE
"230" "Dermacoccus" TRUE FALSE
"231" "Desulfallas-Sporotomaculum" FALSE FALSE
"232" "Desulfitibacter" FALSE FALSE
"233" "Desulfobulbus" TRUE FALSE
"234" "Desulfofarcimen" FALSE FALSE
"235" "Desulfohalotomaculum" FALSE FALSE
"236" "Desulfomicrobium" TRUE FALSE
"237" "Desulfopila" TRUE FALSE
"238" "Desulfosporosinus" FALSE FALSE
"239" "Desulfotomaculum" FALSE FALSE
"240" "Desulfovibrio" FALSE FALSE
"241" "Desulfovirga" FALSE FALSE
"242" "Desulfurispora" TRUE FALSE
"243" "Desulfuromonas" FALSE FALSE
"244" "Dethiobacter" FALSE FALSE
"245" "Devosia" FALSE FALSE
"246" "Dinghuibacter" FALSE FALSE
"247" "Dokdonella" FALSE FALSE
"248" "Domibacillus" FALSE FALSE
"249" "Dongia" FALSE FALSE
"250" "DSSF69" TRUE FALSE
"251" "Duganella" FALSE FALSE
"252" "Dyadobacter" FALSE FALSE
"253" "Dyella" FALSE FALSE
"254" "Edaphobaculum" FALSE FALSE
"255" "Ekhidna" FALSE FALSE
"256" "Ellin516" FALSE FALSE
"257" "Ellin517" FALSE FALSE
"258" "Ellin6055" FALSE FALSE
"259" "Ellin6067" FALSE FALSE
"260" "Emticicia" FALSE FALSE
"261" "Enhydrobacter" FALSE FALSE
"262" "Enhygromyxa" FALSE FALSE
"263" "Ensifer" FALSE FALSE
"264" "Enterorhabdus" FALSE TRUE
"265" "Eoetvoesia" TRUE FALSE
"266" "Epulopiscium" FALSE FALSE
"267" "Erythrobacter" FALSE FALSE
"268" "Estrella" FALSE FALSE
"269" "Euzebya" FALSE TRUE
"270" "Exiguobacterium" FALSE FALSE
"271" "Falsibacillus" FALSE FALSE
"272" "Fenollaria" FALSE FALSE
"273" "Fermentimonas" TRUE FALSE
"274" "Ferribacterium" FALSE FALSE
"275" "Ferrovibrio" FALSE FALSE
"276" "Ferruginibacter" FALSE FALSE
"277" "FFCH7168" FALSE FALSE
"278" "Fibrella" FALSE FALSE
"279" "Fictibacillus" FALSE FALSE
"280" "Filomicrobium" FALSE FALSE
"281" "Fimbriiglobus" TRUE FALSE
"282" "Flaviaesturariibacter" FALSE FALSE
"283" "Flavihumibacter" FALSE FALSE
"284" "Flavimaricola" FALSE TRUE
"285" "Flavisolibacter" FALSE FALSE
"286" "Flavitalea" FALSE FALSE
"287" "Flavobacterium" FALSE FALSE
"288" "Flindersiella" FALSE FALSE
"289" "Fluviicola" FALSE FALSE
"290" "Fontibacillus" FALSE FALSE
"291" "Fonticella" FALSE FALSE
"292" "Fontimonas" FALSE FALSE
"293" "Frateuria" TRUE FALSE
"294" "Frondihabitans" FALSE FALSE
"295" "FukuN57" FALSE FALSE
"296" "Fulvivirga" FALSE FALSE
"297" "Fusobacterium" FALSE TRUE
"298" "Ga0074140" FALSE FALSE
"299" "Gaiella" FALSE FALSE
"300" "Galbitalea" FALSE FALSE
"301" "Garciella" FALSE FALSE
"302" "Geminicoccus" FALSE FALSE
"303" "Gemmata" FALSE FALSE
"304" "Gemmatimonas" FALSE FALSE
"305" "Geobacillus" FALSE FALSE
"306" "Geobacter" FALSE FALSE
"307" "Geodermatophilus" FALSE FALSE
"308" "Geomicrobium" TRUE FALSE
"309" "Georgfuchsia" FALSE FALSE
"310" "Geotalea" FALSE TRUE
"311" "Glutamicibacter" TRUE FALSE
"312" "Glycomyces" FALSE FALSE
"313" "Gordonia" FALSE FALSE
"314" "Gracilibacillus" FALSE FALSE
"315" "Granulicatella" FALSE TRUE
"316" "Gryllotalpicola" TRUE FALSE
"317" "Gulosibacter" FALSE FALSE
"318" "Haliangium" FALSE FALSE
"319" "Haliscomenobacter" FALSE FALSE
"320" "Haloactinopolyspora" FALSE FALSE
"321" "Halobacillus" FALSE FALSE
"322" "Halocella" FALSE FALSE
"323" "Haloimpatiens" TRUE FALSE
"324" "Halomonas" FALSE FALSE
"325" "Haloplasma" FALSE FALSE
"326" "Hamadaea" FALSE FALSE
"327" "Hassallia" FALSE FALSE
"328" "Hathewaya" FALSE TRUE
"329" "HdN1" FALSE FALSE
"330" "Hephaestia" FALSE FALSE
"331" "Herbinix" FALSE FALSE
"332" "Herpetosiphon" FALSE FALSE
"333" "Hirschia" FALSE FALSE
"334" "HN-HF0106" FALSE FALSE
"335" "Holophaga" FALSE TRUE
"336" "HTCC5015" TRUE FALSE
"337" "Humibacillus" FALSE FALSE
"338" "Hungateiclostridium" FALSE FALSE
"339" "Hydrogenophaga" FALSE FALSE
"340" "Hydrogenophilus" FALSE TRUE
"341" "Hylemonella" FALSE FALSE
"342" "Hymenobacter" FALSE FALSE
"343" "Hyphomicrobium" FALSE FALSE
"344" "Hyphomonas" FALSE TRUE
"345" "Iamia" FALSE FALSE
"346" "Idiomarina" TRUE FALSE
"347" "Ignavibacterium" FALSE FALSE
"348" "Ilumatobacter" FALSE FALSE
"349" "IMCC26207" FALSE FALSE
"350" "Imperialibacter" FALSE FALSE
"351" "Incertae Sedis" FALSE FALSE
"352" "Incertae Sedis_1" FALSE FALSE
"353" "Inhella" FALSE FALSE
"354" "Inquilinus" FALSE FALSE
"355" "Intrasporangium" FALSE FALSE
"356" "Irregularibacter" FALSE TRUE
"357" "IS-44" FALSE FALSE
"358" "Isoptericola" FALSE FALSE
"359" "Jahnella" FALSE FALSE
"360" "Janthinobacterium" FALSE FALSE
"361" "Jatrophihabitans" FALSE FALSE
"362" "JCM 18997" FALSE FALSE
"363" "JdFR-76" FALSE FALSE
"364" "Jeotgalibacillus" FALSE FALSE
"365" "JTB255 marine benthic group" FALSE FALSE
"366" "Kaistia" FALSE FALSE
"367" "KD3-10" FALSE FALSE
"368" "Keratinibaculum" FALSE FALSE
"369" "Ketobacter" FALSE FALSE
"370" "Klebsiella" FALSE FALSE
"371" "Klenkia" FALSE FALSE
"372" "Klugiella" FALSE TRUE
"373" "Knoellia" FALSE FALSE
"374" "Kocuria" FALSE FALSE
"375" "Kribbella" FALSE FALSE
"376" "Kroppenstedtia" FALSE FALSE
"377" "Kurthia" FALSE TRUE
"378" "Labrys" FALSE FALSE
"379" "Laceyella" FALSE FALSE
"380" "Lachnospiraceae NK3A20 group" FALSE FALSE
"381" "Lachnotalea" FALSE FALSE
"382" "Lacibacter" FALSE FALSE
"383" "Lacibacterium" FALSE TRUE
"384" "Lacihabitans" FALSE FALSE
"385" "Lactobacillus" TRUE FALSE
"386" "Lapillicoccus" FALSE FALSE
"387" "Larkinella" FALSE FALSE
"388" "Lautropia" FALSE FALSE
"389" "Lawsonella" FALSE FALSE
"390" "Lechevalieria" FALSE FALSE
"391" "Legionella" FALSE FALSE
"392" "Leptospirillum" FALSE TRUE
"393" "Leucobacter" FALSE FALSE
"394" "Leuconostoc" FALSE TRUE
"395" "Lihuaxuella" FALSE TRUE
"396" "Limibaculum" FALSE FALSE
"397" "Limnobacter" FALSE FALSE
"398" "Limnochorda" FALSE FALSE
"399" "Limnohabitans" FALSE FALSE
"400" "Litorilinea" FALSE FALSE
"401" "Longispora" FALSE FALSE
"402" "Luedemannella" FALSE FALSE
"403" "Luteimonas" FALSE FALSE
"404" "Luteivirga" FALSE FALSE
"405" "Lysinibacillus" FALSE FALSE
"406" "Lysinimicrobium" FALSE TRUE
"407" "Lysinimonas" FALSE FALSE
"408" "Lysobacter" FALSE FALSE
"409" "Magnetospirillum" FALSE FALSE
"410" "Mariniflexile" FALSE FALSE
"411" "Marinobacter" FALSE FALSE
"412" "Marmoricola" FALSE FALSE
"413" "Massilia" FALSE FALSE
"414" "Melghirimyces" FALSE TRUE
"415" "Membranicola" FALSE FALSE
"416" "Mesorhizobium" FALSE FALSE
"417" "Methylibium" FALSE FALSE
"418" "Methylobacillus" FALSE FALSE
"419" "Methylobacter" FALSE FALSE
"420" "Methylobacterium-Methylorubrum" FALSE FALSE
"421" "Methylocaldum" FALSE FALSE
"422" "Methyloceanibacter" FALSE FALSE
"423" "Methylocella" FALSE TRUE
"424" "Methyloligella" FALSE TRUE
"425" "Methylomicrobium" FALSE TRUE
"426" "Methylophaga" FALSE FALSE
"427" "Methylophilus" FALSE FALSE
"428" "Methylotenera" FALSE FALSE
"429" "Methyloversatilis" TRUE FALSE
"430" "Micavibrio" FALSE FALSE
"431" "Microbacterium" FALSE FALSE
"432" "Microbispora" FALSE FALSE
"433" "Microbulbifer" FALSE FALSE
"434" "Microcella" FALSE FALSE
"435" "Micromonospora" FALSE FALSE
"436" "Micropepsis" FALSE FALSE
"437" "Microvirga" FALSE FALSE
"438" "Minicystis" FALSE FALSE
"439" "mle1-7" FALSE FALSE
"440" "MM2" FALSE FALSE
"441" "MND1" FALSE FALSE
"442" "Mobilitalea" FALSE FALSE
"443" "Mogibacterium" FALSE TRUE
"444" "Moheibacter" TRUE FALSE
"445" "Mongoliitalea" FALSE FALSE
"446" "Monoglobus" TRUE FALSE
"447" "Mumia" FALSE TRUE
"448" "Mycobacterium" FALSE FALSE
"449" "Mycoplana" FALSE FALSE
"450" "Myxococcus" FALSE FALSE
"451" "Nafulsella" FALSE FALSE
"452" "Nakamurella" FALSE FALSE
"453" "Nannocystis" FALSE FALSE
"454" "Natranaerovirga" FALSE FALSE
"455" "Neo-b11" FALSE FALSE
"456" "Neochlamydia" FALSE FALSE
"457" "Neorhizobium" FALSE FALSE
"458" "Nesterenkonia" TRUE FALSE
"459" "Nevskia" TRUE FALSE
"460" "Niastella" FALSE FALSE
"461" "Nitritalea" FALSE FALSE
"462" "Nitrobacter" FALSE FALSE
"463" "Nitrosomonas" FALSE FALSE
"464" "Nitrosospira" FALSE FALSE
"465" "Nitrospira" FALSE FALSE
"466" "Niveispirillum" TRUE FALSE
"467" "NK4A214 group" FALSE FALSE
"468" "Nocardia" FALSE FALSE
"469" "Nocardioides" FALSE FALSE
"470" "Nocardiopsis" FALSE FALSE
"471" "Nonomuraea" FALSE FALSE
"472" "Nordella" FALSE FALSE
"473" "Novibacillus" FALSE FALSE
"474" "Noviherbaspirillum" FALSE FALSE
"475" "Novosphingobium" FALSE FALSE
"476" "NS10 marine group" FALSE TRUE
"477" "Nubsella" FALSE FALSE
"478" "Oblitimonas" TRUE FALSE
"479" "Oceanicella" FALSE TRUE
"480" "Oceanobacillus" FALSE FALSE
"481" "Ochrobactrum" FALSE FALSE
"482" "Oerskovia" FALSE FALSE
"483" "Ohtaekwangia" FALSE FALSE
"484" "Oikopleura" FALSE FALSE
"485" "OLB12" FALSE FALSE
"486" "OLB8" TRUE FALSE
"487" "Oleiphilus" FALSE FALSE
"488" "Oligoflexus" FALSE FALSE
"489" "Oligotropha" FALSE FALSE
"490" "Olivibacter" FALSE FALSE
"491" "Olsenella" FALSE FALSE
"492" "OM27 clade" FALSE FALSE
"493" "OM60(NOR5) clade" FALSE FALSE
"494" "Ornithinibacillus" FALSE FALSE
"495" "Ornithinibacter" FALSE FALSE
"496" "Ornithinicoccus" FALSE FALSE
"497" "Orrella" TRUE FALSE
"498" "Oryzihumus" FALSE FALSE
"499" "Oscillochloris" TRUE FALSE
"500" "Owenweeksia" TRUE FALSE
"501" "Oxalicibacterium" FALSE FALSE
"502" "Oxalophagus" TRUE FALSE
"503" "Oxobacter" FALSE FALSE
"504" "P3OB-42" FALSE FALSE
"505" "Paenarthrobacter" FALSE FALSE
"506" "Paenibacillus" FALSE FALSE
"507" "Paeniclostridium" FALSE FALSE
"508" "Paeniglutamicibacter" FALSE FALSE
"509" "Paenirhodobacter" FALSE FALSE
"510" "Paenisporosarcina" FALSE FALSE
"511" "Pajaroellobacter" FALSE FALSE
"512" "Panacagrimonas" FALSE FALSE
"513" "Papillibacter" FALSE FALSE
"514" "Parachlamydia" FALSE FALSE
"515" "Paraclostridium" FALSE FALSE
"516" "Paracoccus" FALSE FALSE
"517" "Parafilimonas" FALSE FALSE
"518" "Parasegetibacter" FALSE FALSE
"519" "Parasporobacterium" TRUE FALSE
"520" "Parvibaculum" FALSE FALSE
"521" "Parviterribacter" FALSE FALSE
"522" "Pasteuria" TRUE FALSE
"523" "Patulibacter" FALSE FALSE
"524" "Paucibacter" FALSE FALSE
"525" "Paucisalibacillus" TRUE FALSE
"526" "Pedobacter" FALSE FALSE
"527" "Pedococcus-Phycicoccus" FALSE FALSE
"528" "Pedomicrobium" FALSE FALSE
"529" "Pedosphaera" FALSE FALSE
"530" "Pelagibacterium" FALSE FALSE
"531" "Pelagibius" FALSE FALSE
"532" "Pelosinus" FALSE FALSE
"533" "Pelospora" FALSE FALSE
"534" "Pelotomaculum" FALSE FALSE
"535" "Peptoniphilus" FALSE FALSE
"536" "Peredibacter" FALSE FALSE
"537" "Permianibacter" FALSE FALSE
"538" "Persicitalea" TRUE FALSE
"539" "Phaeodactylibacter" FALSE FALSE
"540" "Phaselicystis" FALSE FALSE
"541" "Phenylobacterium" FALSE FALSE
"542" "Phreatobacter" FALSE TRUE
"543" "Phyllobacterium" FALSE FALSE
"544" "Phytohabitans" FALSE TRUE
"545" "Phytomonospora" TRUE FALSE
"546" "Pigmentiphaga" FALSE FALSE
"547" "Pilimelia" FALSE FALSE
"548" "Pir4 lineage" FALSE FALSE
"549" "Pirellula" FALSE FALSE
"550" "Piscinibacter" FALSE FALSE
"551" "Planctomicrobium" FALSE FALSE
"552" "Planctopirus" FALSE FALSE
"553" "Planifilum" FALSE FALSE
