"taxon" "structural_zero (Plant.condition = Diseased)" "structural_zero (Plant.condition = Healthy)"
"647" "Sanguibacter-Flavimobilis" FALSE FALSE
"648" "Sedimentibacter" FALSE FALSE
"649" "Sediminibacterium" TRUE FALSE
"650" "SEEP-SRB4" TRUE FALSE
"651" "Segetibacter" FALSE FALSE
"652" "Seinonella" FALSE FALSE
"653" "SH-PL14" FALSE FALSE
"654" "Shimazuella" FALSE FALSE
"655" "Shinella" FALSE FALSE
"656" "Silvanigrella" FALSE FALSE
"657" "Singulisphaera" FALSE TRUE
"658" "Sinibacillus" FALSE FALSE
"659" "Skermanella" FALSE FALSE
"660" "SM1A02" FALSE FALSE
"661" "Solibacillus" FALSE FALSE
"662" "Solirubrobacter" FALSE FALSE
"663" "Solitalea" FALSE FALSE
"664" "Sorangium" FALSE FALSE
"665" "Sphaerimonospora" FALSE FALSE
"666" "Sphaerisporangium" FALSE FALSE
"667" "Sphingoaurantiacus" FALSE FALSE
"668" "Sphingobacterium" FALSE FALSE
"669" "Sphingobium" FALSE FALSE
"670" "Sphingomonas" FALSE FALSE
"671" "Sphingopyxis" FALSE FALSE
"672" "Sphingorhabdus" FALSE FALSE
"673" "Spirillospora" TRUE FALSE
"674" "Spirochaeta" FALSE TRUE
"675" "Spirochaeta 2" FALSE FALSE
"676" "Spirosoma" FALSE TRUE
"677" "Sporacetigenium" FALSE FALSE
"678" "Sporobacter" FALSE FALSE
"679" "Sporocytophaga" FALSE FALSE
"680" "Sporosarcina" FALSE FALSE
"681" "Stackebrandtia" FALSE FALSE
"682" "Staphylococcus" FALSE FALSE
"683" "Stella" FALSE FALSE
"684" "Stenotrophobacter" FALSE TRUE
"685" "Stenotrophomonas" FALSE FALSE
"686" "Steroidobacter" FALSE FALSE
"687" "Streptacidiphilus" FALSE TRUE
"688" "Streptococcus" FALSE FALSE
"689" "Streptomyces" FALSE FALSE
"690" "Streptosporangium" FALSE FALSE
"691" "Subgroup 10" FALSE FALSE
"692" "Sulfurifustis" FALSE FALSE
"693" "Sulfurovum" TRUE FALSE
"694" "Sva0996 marine group" FALSE FALSE
"695" "SWB02" FALSE FALSE
"696" "Symbiobacterium" FALSE FALSE
"697" "Syntrophomonas" FALSE FALSE
"698" "SZB85" FALSE FALSE
"699" "Tabrizicola" FALSE FALSE
"700" "Taeseokella" FALSE FALSE
"701" "Tahibacter" FALSE FALSE
"702" "Taibaiella" FALSE FALSE
"703" "Tardiphaga" FALSE FALSE
"704" "Tepidimicrobium" FALSE FALSE
"705" "Tepidimonas" FALSE TRUE
"706" "Terrabacter" FALSE FALSE
"707" "Terribacillus" FALSE FALSE
"708" "Terrimicrobium" FALSE TRUE
"709" "Terrimonas" FALSE FALSE
"710" "Terrisporobacter" FALSE FALSE
"711" "Tersicoccus" FALSE FALSE
"712" "Thalassobaculum" FALSE FALSE
"713" "Thermasporomyces" FALSE FALSE
"714" "Thermincola" FALSE FALSE
"715" "Thermoactinomyces" FALSE FALSE
"716" "Thermoanaerobacterium" FALSE FALSE
"717" "Thermobacillus" FALSE FALSE
"718" "Thermobifida" FALSE FALSE
"719" "Thermobispora" FALSE FALSE
"720" "Thermocatellispora" FALSE FALSE
"721" "Thermoclostridium" FALSE FALSE
"722" "Thermoflavimicrobium" FALSE FALSE
"723" "Thermomonas" FALSE FALSE
"724" "Thermomonospora" FALSE FALSE
"725" "Thermopolyspora" FALSE FALSE
"726" "Thermostaphylospora" FALSE FALSE
"727" "Thioalkalispira-Sulfurivermis" FALSE FALSE
"728" "Thiobacillus" TRUE FALSE
"729" "Thioclava" TRUE FALSE
"730" "Tissierella" FALSE FALSE
"731" "TM7a" FALSE FALSE
"732" "Trichococcus" FALSE TRUE
"733" "Truepera" FALSE FALSE
"734" "Tuberibacillus" FALSE FALSE
"735" "Tumebacillus" FALSE FALSE
"736" "Turicibacter" FALSE FALSE
"737" "Turneriella" FALSE FALSE
"738" "TX1A-55" FALSE FALSE
"739" "UBA6140" FALSE FALSE
"740" "UCG-012" FALSE FALSE
"741" "Ureibacillus" FALSE FALSE
"742" "UTBCD1" FALSE FALSE
"743" "Variovorax" FALSE FALSE
"744" "Verrucosispora" FALSE FALSE
"745" "Vicingus" FALSE FALSE
"746" "Virgibacillus" FALSE FALSE
"747" "Virgisporangium" FALSE FALSE
"748" "Viridibacillus" FALSE FALSE
"749" "Vitellibacter" FALSE FALSE
"750" "Vitiosangium" FALSE TRUE
"751" "Vogesella" FALSE FALSE
"752" "Vulgatibacter" FALSE FALSE
"753" "Waddlia" FALSE FALSE
"754" "wb1-P19" FALSE FALSE
"755" "WCHB1-32" FALSE FALSE
"756" "Weeksella" TRUE FALSE
"757" "Williamsia" FALSE FALSE
"758" "Woeseia" FALSE FALSE
"759" "Xanthomonas" FALSE TRUE
"760" "Xylanibacillus" FALSE TRUE
"761" "Xylophilus" FALSE FALSE
"762" "YC-ZSS-LKJ147" FALSE FALSE
"763" "Youhaiella" TRUE FALSE
"764" "Zavarzinella" TRUE FALSE
"765" "ZOR0006" FALSE FALSE
